"","reference [ L/day ]","[mmol N m^-3] diatom cells","[mmol N m^-3] Pro. cells","[mmol N m^-3] diatom viruses","[mmol N m^-3] Pro. viruses"
"1",1e+09,0.17,0.00061,1e-05,1e-05
"2",1e+08,0.017,6.1e-05,1e-06,1e-06
"3",1e+07,0.0017,6.1e-06,1e-07,1e-07
"4",1e+06,0.00017,6.1e-07,1e-08,1e-08
"5",1e+05,1.7e-05,6.1e-08,1e-09,1e-09
"6",10000,1.7e-06,6.1e-09,1e-10,1e-10
"7",1000,1.7e-07,6.1e-10,1e-11,1e-11
"8",100,1.7e-08,6.1e-11,1e-12,1e-12
"9",10,1.7e-09,6.1e-12,1e-13,1e-13
"10",1,1.7e-10,6.1e-13,1e-14,1e-14
"11",0.1,1.7e-11,6.1e-14,1e-15,1e-15
"12",0.01,1.7e-12,6.1e-15,1e-16,1e-16
"13",0.001,1.7e-13,6.1e-16,1e-17,1e-17
"14",1e-04,1.7e-14,6.1e-17,1e-18,1e-18
"15",1e-05,1.7e-15,6.1e-18,1e-19,1e-19
"16",1e-06,1.7e-16,6.1e-19,1e-20,1e-20
"17",1e-07,1.7e-17,6.1e-20,1e-21,1e-21
"18",1e-08,1.7e-18,6.1e-21,1e-22,1e-22
"19",1e-09,1.7e-19,6.1e-22,1e-23,1e-23
"20",1e-10,1.7e-20,6.1e-23,1e-24,1e-24
"21",1e-11,1.7e-21,6.1e-24,1e-25,1e-25
"22",1e-12,1.7e-22,6.1e-25,1e-26,1e-26
"23",1e-13,1.7e-23,6.1e-26,1e-27,1e-27
"24",1e-14,1.7e-24,6.1e-27,1e-28,1e-28
"25",1e-15,1.7e-25,6.1e-28,1e-29,1e-29
